 	COC001 	Adams
atom 	COC003 	Alamosa
atom 	COC005 	Arapahoe
atom 	COC007 	Archuleta
atom 	COC009 	Baca
atom 	COC011 	Bent
atom 	COC013 	Boulder
atom 	COC014 	Broomfield
atom 	COC015 	Chaffee
atom 	COC017 	Cheyenne
atom 	COC019 	Clear Creek
atom 	COC021 	Conejos
atom 	COC023 	Costilla
atom 	COC025 	Crowley
atom 	COC027 	Custer
atom 	COC029 	Delta
atom 	COC031 	Denver
atom 	COC033 	Dolores
atom 	COC035 	Douglas
atom 	COC037 	Eagle
atom 	COC039 	Elbert
atom 	COC041 	El Paso
atom 	COC043 	Fremont
atom 	COC045 	Garfield
atom 	COC047 	Gilpin
atom 	COC049 	Grand
atom 	COC051 	Gunnison
atom 	COC053 	Hinsdale
atom 	COC055 	Huerfano
atom 	COC057 	Jackson
atom 	COC059 	Jefferson
atom 	COC061 	Kiowa
atom 	COC063 	Kit Carson
atom 	COC065 	Lake
atom 	COC067 	La Plata
atom 	COC069 	Larimer
atom 	COC071 	Las Animas
atom 	COC073 	Lincoln
atom 	COC075 	Logan
atom 	COC077 	Mesa
atom 	COC079 	Mineral
atom 	COC081 	Moffat
atom 	COC083 	Montezuma
atom 	COC085 	Montrose
atom 	COC087 	Morgan
atom 	COC089 	Otero
atom 	COC091 	Ouray
atom 	COC093 	Park
atom 	COC095 	Phillips
atom 	COC097 	Pitkin
atom 	COC099 	Prowers
atom 	COC101 	Pueblo
atom 	COC103 	Rio Blanco
atom 	COC105 	Rio Grande
atom 	COC107 	Routt
atom 	COC109 	Saguache
atom 	COC111 	San Juan
atom 	COC113 	San Miguel
atom 	COC115 	Sedgwick
atom 	COC117 	Summit
atom 	COC119 	Teller
atom 	COC121 	Washington
atom 	COC123 	Weld
atom 	COC125 	Yuma
