 	OKC001 	Adair
atom 	OKC003 	Alfalfa
atom 	OKC005 	Atoka
atom 	OKC007 	Beaver
atom 	OKC009 	Beckham
atom 	OKC011 	Blaine
atom 	OKC013 	Bryan
atom 	OKC015 	Caddo
atom 	OKC017 	Canadian
atom 	OKC019 	Carter
atom 	OKC021 	Cherokee
atom 	OKC023 	Choctaw
atom 	OKC025 	Cimarron
atom 	OKC027 	Cleveland
atom 	OKC029 	Coal
atom 	OKC031 	Comanche
atom 	OKC033 	Cotton
atom 	OKC035 	Craig
atom 	OKC037 	Creek
atom 	OKC039 	Custer
atom 	OKC041 	Delaware
atom 	OKC043 	Dewey
atom 	OKC045 	Ellis
atom 	OKC047 	Garfield
atom 	OKC049 	Garvin
atom 	OKC051 	Grady
atom 	OKC053 	Grant
atom 	OKC055 	Greer
atom 	OKC057 	Harmon
atom 	OKC059 	Harper
atom 	OKC061 	Haskell
atom 	OKC063 	Hughes
atom 	OKC065 	Jackson
atom 	OKC067 	Jefferson
atom 	OKC069 	Johnston
atom 	OKC071 	Kay
atom 	OKC073 	Kingfisher
atom 	OKC075 	Kiowa
atom 	OKC077 	Latimer
atom 	OKC079 	Le Flore
atom 	OKC081 	Lincoln
atom 	OKC083 	Logan
atom 	OKC085 	Love
atom 	OKC087 	McClain
atom 	OKC089 	McCurtain
atom 	OKC091 	McIntosh
atom 	OKC093 	Major
atom 	OKC095 	Marshall
atom 	OKC097 	Mayes
atom 	OKC099 	Murray
atom 	OKC101 	Muskogee
atom 	OKC103 	Noble
atom 	OKC105 	Nowata
atom 	OKC107 	Okfuskee
atom 	OKC109 	Oklahoma
atom 	OKC111 	Okmulgee
atom 	OKC113 	Osage
atom 	OKC115 	Ottawa
atom 	OKC117 	Pawnee
atom 	OKC119 	Payne
atom 	OKC121 	Pittsburg
atom 	OKC123 	Pontotoc
atom 	OKC125 	Pottawatomie
atom 	OKC127 	Pushmataha
atom 	OKC129 	Roger Mills
atom 	OKC131 	Rogers
atom 	OKC133 	Seminole
atom 	OKC135 	Sequoyah
atom 	OKC137 	Stephens
atom 	OKC139 	Texas
atom 	OKC141 	Tillman
atom 	OKC143 	Tulsa
atom 	OKC145 	Wagoner
atom 	OKC147 	Washington
atom 	OKC149 	Washita
atom 	OKC151 	Woods
atom 	OKC153 	Woodward
