 	UTC001 	Beaver
atom 	UTC003 	Box Elder
atom 	UTC005 	Cache
atom 	UTC007 	Carbon
atom 	UTC009 	Daggett
atom 	UTC011 	Davis
atom 	UTC013 	Duchesne
atom 	UTC015 	Emery
atom 	UTC017 	Garfield
atom 	UTC019 	Grand
atom 	UTC021 	Iron
atom 	UTC023 	Juab
atom 	UTC025 	Kane
atom 	UTC027 	Millard
atom 	UTC029 	Morgan
atom 	UTC031 	Piute
atom 	UTC033 	Rich
atom 	UTC035 	Salt Lake
atom 	UTC037 	San Juan
atom 	UTC039 	Sanpete
atom 	UTC041 	Sevier
atom 	UTC043 	Summit
atom 	UTC045 	Tooele
atom 	UTC047 	Uintah
atom 	UTC049 	Utah
atom 	UTC051 	Wasatch
atom 	UTC053 	Washington
atom 	UTC055 	Wayne
atom 	UTC057 	Weber
